,T_outside,Q_internal,Q_hvac,Q_hvac_heat,Q_solar,T_room,m_dot,T_dis,P_chiller,P_fan
81,14.666666666666664,4.645035990475525,-2.046715881760961,3.3058583016672065,5.095306799435711,21.133375975321496,4.198761603909876,17.79540404170955,1.578373425939493,1.4734654320164735
82,14.833333333333336,4.6450147645444435,-2.0652210020697335,3.1639147152613183,5.121209681863277,21.13713204515484,4.500503043699248,18.937373787824722,1.692803946355294,1.6027808976479676
83,15.0,4.644791156928098,-2.3065910647685097,3.0351575320216693,5.144553231990651,21.14053268352392,4.219731023229834,17.762006571876,1.8060881685630619,1.4734654320164735
84,15.166666666666664,13.413721975972344,-7.674780773315177,0.0,5.166076338227583,21.176730743321386,2.88952203118221,14.725722877425302,2.076415359809513,0.8643964275442724
85,15.333333333333332,13.38628197564286,-8.63369022105496,0.0,5.186413352705935,21.21600519991907,0.9542277905546005,12.771159567227865,2.185905049288375,0.0
86,15.5,13.37503863755733,-8.771967458645605,0.0,5.20610556975057,21.248970054406723,0.9639955561550544,12.772183142302318,2.297259770724158,0.0
87,15.666666666666668,13.364706056438118,-8.530946721348,0.0,5.225552245446985,21.28331951261285,1.8772537386668635,13.924749044769626,2.397450668366814,0.40213174638988197
88,15.833333333333332,13.354838412702485,-8.994694589746006,0.0,6.250116926374619,21.297574889525514,0.9804174552347241,12.777969620776602,2.4993132436591847,0.0
89,16.0,13.337118190141984,-9.1178958669525,0.0,7.345587499805701,21.331785229025527,0.9887153762850929,12.778051069416156,2.599739514694526,0.0
90,16.166666666666668,13.322750690843959,-9.421377404363259,0.0,7.327777942789294,21.386886228351106,1.0105421918005084,12.770652994035844,2.762997316519045,0.0
