,T_outdoor,T_room,Q_solar,Q_internal,Q_hvac_cool,Q_hvac_heat,Q_hvac,Q_ghi,Q_load,Timestamp
10610.0,21.55,24.53000000000001,28.47742262616645,7.951670308485054,41.654143260072196,0.0,-41.654143260072196,28.47742262616645,-33.70247295158714, 08/22  08:51:00
10611.0,21.6,24.53000000000001,28.37164515175504,7.951670308485054,41.668730222570424,0.0,-41.668730222570424,28.37164515175504,-33.71705991408537, 08/22  08:52:00
10612.0,21.650000000000006,24.53000000000001,28.26506298784258,7.951670308485054,41.68238966994181,0.0,-41.68238966994181,28.26506298784258,-33.73071936145676, 08/22  08:53:00
10613.0,21.7,24.53000000000001,28.157671762977607,7.951670308485054,41.69517132873282,0.0,-41.69517132873282,28.157671762977607,-33.74350102024776, 08/22  08:54:00
10614.0,21.75,24.53000000000001,28.049467181897292,7.951670308485054,41.70710263673696,0.0,-41.70710263673696,28.049467181897292,-33.755432328251906, 08/22  08:55:00
10615.0,21.8,24.53000000000001,27.940445036057906,7.951670308485054,41.716775018148496,0.0,-41.716775018148496,27.940445036057906,-33.76510470966344, 08/22  08:56:00
10616.0,21.85,24.53000000000001,27.83060121433674,7.951670308485054,41.72513787792747,0.0,-41.72513787792747,27.83060121433674,-33.77346756944242, 08/22  08:57:00
10617.0,21.9,24.53000000000001,27.719931713894987,7.951670308485054,41.73264792831849,0.0,-41.73264792831849,27.719931713894987,-33.780977619833436, 08/22  08:58:00
10618.0,21.95,24.530000000000012,27.608432651192974,7.951670308485054,41.73918160980291,0.0,-41.73918160980291,27.608432651192974,-33.787511301317856, 08/22  08:59:00
10619.0,22.0,24.53000000000001,27.496100273147437,7.951670308485054,41.74484132733561,0.0,-41.74484132733561,27.496100273147437,-33.79317101885055, 08/22  09:00:00
10620.0,22.03333333333333,24.530388471761732,27.38293096842068,8.82700731684845,42.688294897561,0.0,-42.688294897561,27.38293096842068,-33.86128758071255, 08/22  09:01:00
10621.0,22.066666666666666,24.53003543632923,27.26892127883124,8.8268752128988,43.32497527609657,0.0,-43.32497527609657,27.26892127883124,-34.498100063197775, 08/22  09:02:00
10622.0,22.1,24.53025533093335,27.15406791087477,8.826995267580415,42.776541649269355,0.0,-42.776541649269355,27.15406791087477,-33.94954638168894, 08/22  09:03:00
10623.0,22.133333333333336,24.53002328135896,27.038367747344275,8.826920492200264,43.29358039770061,0.0,-43.29358039770061,27.038367747344275,-34.46665990550034, 08/22  09:04:00
10624.0,22.166666666666664,24.53019384068515,26.921817859038015,8.82699940061241,42.90138260061512,0.0,-42.90138260061512,26.921817859038015,-34.074383200002714, 08/22  09:05:00
10625.0,22.200000000000003,24.530017692778266,26.804415516542978,8.826941402980053,43.27485830584183,0.0,-43.27485830584183,26.804415516542978,-34.44791690286178, 08/22  09:06:00
10626.0,22.233333333333334,24.53011810021288,26.68615820208217,8.82700130087737,42.99679686815531,0.0,-42.99679686815531,26.68615820208217,-34.16979556727794, 08/22  09:07:00
10627.0,22.26666666666667,24.530010789652483,26.567043621412843,8.826967158761388,43.2392026322023,0.0,-43.2392026322023,26.567043621412843,-34.412235473440916, 08/22  09:08:00
10628.0,22.3,24.530036498900614,26.447069715763252,8.827003648113868,43.08801428997916,0.0,-43.08801428997916,26.447069715763252,-34.26101064186529, 08/22  09:09:00
